event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2010-08-06 00:00:00,"Gircha and Sarteez(Sartiz) villages, Gojal Tehsil, gilgit-baltistan",36.6567,74.8609,landslide,medium,downpour,0,0
2010-10-16 00:00:00,"Barrangay Pulang Bato (Pulangbato), Cebu",10.395,123.9153,landslide,medium,tropical_cyclone,0,0
2011-07-21 00:00:00,"Kumaon, Uttarakhand",29.7334,79.6367,landslide,medium,rain,1,0
2010-10-17 00:00:00,"barangay Kalunasan, Cebu",10.57,123.72,landslide,medium,tropical_cyclone,0,0
2010-10-17 00:00:00,"Barrangay Binaliw, Cebu",10.77,123.98,landslide,medium,tropical_cyclone,0,0
2007-03-19 00:00:00,Doba,33.8778,74.3333,landslide,medium,rain,2,0
2011-05-04 09:00:00,"on transfer station rd near old landfill(?), Franklin county, VT",44.9378,-73.0562,mudslide,small,downpour,0,0
2011-06-29 00:00:00,"National Highway leading to Gangotri, from Dehradun",30.7666,78.7963,landslide,medium,downpour,0,0
2011-07-03 00:00:00,Rural roads in Arghakhanchi,27.7394,83.5754,landslide,medium,downpour,2,0
2013-07-21 00:00:00,"Sapangdaku, Cebu City",10.335,123.8725,landslide,medium,rain,0,0
2011-07-03 00:00:00,Rural Roads in Baglung,28.3683,83.2934,landslide,medium,downpour,0,0
2011-07-03 00:00:00,Rural Roads in Gulmi,28.0889,83.2934,landslide,medium,downpour,0,0
2017-06-02 13:34:00,"San Francisco Ozolotepec, Oaxaca",16.09880042,-96.22255907,landslide,medium,tropical_cyclone,2,0
2011-07-09 00:00:00,Gangotri,30.7652,78.5925,landslide,medium,downpour,0,0
2011-07-09 00:00:00,Kedarnath,30.7331,79.0685,landslide,medium,downpour,0,0
2011-07-09 00:00:00,Yamunotri,31.0188,78.4129,landslide,medium,downpour,0,0
2017-01-06 14:34:00,Entrance to Yosemite Park on Highway  40,37.67607624,-119.7795082,rock_fall,small,unknown,0,0
2017-05-30 13:34:00,Sitio Tiktik (??) in Barangay Bontoc,16.77787239,120.9613282,landslide,small,rain,0,0
2011-07-16 00:00:00,Pernambuco,-8.8137,-36.9541,mudslide,medium,downpour,0,0
2012-02-14 00:00:00,"Pulangbato, Cebu City",10.39,123.92,landslide,medium,downpour,0,0
2011-07-16 00:00:00,Recife,-8.0543,-34.8813,mudslide,medium,downpour,1,0
2011-07-21 00:00:00,"Chamoli , Uttarakhand",30.4043,79.3318,landslide,medium,rain,1,0
2011-07-22 00:00:00,Colima,19.2444,-103.7244,landslide,medium,tropical_cyclone,0,0
2011-07-22 00:00:00,Gurrero,17.4974,-99.538,landslide,medium,tropical_cyclone,0,0
2017-07-03 18:04:00,"Narayangadh-Muglin road section, Chitwan, Nepal",27.83196401,84.54704621,landslide,medium,rain,0,0
2011-07-22 00:00:00,Michoacan,19.5805,-101.7023,landslide,medium,tropical_cyclone,0,0
2012-02-16 00:00:00,"Mahaplag, Leyte",10.6073,124.9705,landslide,medium,downpour,0,0
2009-11-17 00:00:00,"White Rock, B.C. ",49.0229,-122.8001,mudslide,small,downpour,0,0
2011-07-22 00:00:00,Nayarit,21.7595,-104.8334,landslide,medium,tropical_cyclone,0,0
2011-07-30 00:00:00,"Catherine Store Road, Garfield County, CO",39.4274,-107.1291,mudslide,small,rain,0,0
2011-07-30 00:00:00,"Red Canyon Road, Garfield County, CO",39.4977,-107.2225,mudslide,small,rain,0,0
2011-09-17 09:00:00,"Ruinibang of Sulichowr VDC,Rolpa",28.3875,82.6474,landslide,medium,downpour,7,0
2016-09-05 18:04:00,"Mokochung, Nagaland, India",26.324724,94.514651,landslide,large,rain,0,0
2012-02-14 00:00:00,"Barangays Busay, Cebu City",10.37,123.89,landslide,medium,downpour,0,0
2012-02-14 00:00:00,"Binaliw, Cebu City",10.42,123.91,landslide,medium,downpour,0,0
2016-08-16 19:22:00,"Dzongu, Sikkim, India",27.593,88.492,landslide,large,rain,0,0
2012-05-02 00:00:00,"Myrtle Creek Rd, Bonners Ferry, ID",42.9744,-124.01,landslide,large,downpour,0,0
2012-09-18 00:00:00,"Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh",31.0226,77.1029,landslide,medium,downpour,0,0
2012-09-19 00:00:00,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",27.8385,88.556,landslide,large,downpour,20,0
2012-09-19 00:00:00," Chungthang and Pegong. Houses, between Rangma and Chungthang ",27.6558,88.605,landslide,large,downpour,0,0
2012-10-19 00:00:00,"(Asikuma and Nkran),Prestea Huni/Valley District",5.5779,-0.9992,landslide,medium,downpour,0,0
2016-09-02 18:04:00,"Gajuri, Dhading, Nepal",27.769034,84.854632,landslide,small,unknown,1,0
2012-12-25 03:00:00,Hermitage,11.3169,-60.55,landslide,medium,rain,0,0
2017-07-04 14:33:00,"Mahughata village (??), Hoanak Union Parishad, Maheshkhali, Upazila, Bangladesh",21.61900923,91.92597729,landslide,medium,rain,1,0
2013-05-28 00:00:00,"San Judas Tadeo, Colon",9.3381,-79.8897,landslide,medium,downpour,0,0
2013-05-28 00:00:00,"Villa Del Caribe, Colon",9.3581,-79.9029,landslide,medium,downpour,0,0
2013-06-16 00:00:00,"Rishikesh-Joshimath-Mana Road, Uttarakhand",30.4954,78.3881,landslide,medium,rain,0,0
2013-06-16 00:00:00,"Dharasu-Gangotri Road, Uttarakhand",30.885,78.6695,landslide,medium,rain,0,0
2013-06-16 00:00:00,"Pithoragarh-Ghatiabgarh Road, Uttarakhand",29.7986,80.417,landslide,medium,rain,0,0
2017-05-30 13:34:00,"182 Dixon Springs Hwy, Carthage, Tennessee, 37030",36.27009466,-85.97897289,rock_fall,small,rain,0,0
2013-06-19 00:00:00,"Highway 31, Near Kaslo And Schoeder Creek, British Columbia",50.0023,-116.9044,mudslide,medium,downpour,0,0
2016-09-05 18:04:00,"Wokha, India",26.092493,94.257523,landslide,large,rain,0,0
2013-06-25 08:00:00,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",10.9628,77.5947,landslide,medium,downpour,0,0
2013-06-25 08:00:00,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",10.9628,77.5947,landslide,medium,downpour,0,0
2013-07-14 00:00:00,"Rapti Highway, Salyan District, Midwestern Region",28.4311,82.1847,landslide,medium,unknown,0,0
2013-07-17 00:00:00,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",25.7658,93.9413,mudslide,medium,rain,0,0
